#JobTime,MS_LOC_X,MS_LOC_Y,MS_LOC_Z,SP_MAGNITUDE
#Time,DD:MM:YY:HH:MM:SS,,,
25:02:10:11:20:25,765.82,-686.83,-1725.9,0.909
25:02:10:11:20:26,646.66,-545.05,-1551.17,0.598
25:02:10:11:20:26,752.9,-648.86,-1650.59,0.82
25:02:10:11:20:26,752.9,-648.86,-1650.59,0.82
25:02:10:11:20:31,768.67,-695.4,-1711.12,0.962
25:02:10:11:20:31,768.67,-695.4,-1711.12,0.969
25:02:10:11:20:35,822.14,-672.28,-1590.63,0.94
25:02:10:11:20:35,822.14,-672.28,-1590.63,0.792
25:02:10:11:20:36,635.14,-558.64,-1590,0.66
25:02:10:11:20:45,624.47,-558.99,-1578.81,0.592
25:02:10:11:20:55,617.3,-549.18,-1564.11,0.564
25:02:10:11:20:57,590.28,-544.87,-1537.29,0.473
25:02:10:11:21:13,781.94,-685.21,-1639.45,0.921
25:02:10:11:21:13,781.94,-685.21,-1639.45,0.889
25:02:10:11:21:13,601.79,-613.68,-1557.98,0.53
25:02:10:11:21:16,735.56,-717.14,-1605.86,0.842
25:02:10:11:21:16,735.56,-717.14,-1605.86,0.835
25:02:10:11:21:24,722.45,-600.2,-1592.25,0.759
25:02:10:11:21:36,630.65,-610.53,-1558.33,0.464
25:02:10:11:21:45,672.61,-503.24,-1671.83,0.776
25:02:10:11:21:52,611.99,-590.42,-1667.6,0.564
25:02:10:11:21:55,796.69,-689.29,-1487.44,0.806
25:02:10:11:21:59,626.39,-637.48,-1551.81,0.471
25:02:10:11:22:09,768.59,-648.6,-1700.42,0.891
25:02:10:11:22:09,768.59,-648.6,-1700.42,0.873
25:02:10:11:22:15,734.84,-702.64,-1598.35,0.732
25:02:10:11:22:17,744.09,-633.24,-1710.42,0.902
25:02:10:11:22:17,744.09,-633.24,-1710.42,0.898
25:02:10:11:22:32,746.32,-657.06,-1608.75,0.763
25:02:10:11:22:32,746.32,-657.06,-1608.75,0.59
25:02:10:11:22:43,655.47,-685.39,-1580.88,0.558
25:02:10:11:22:43,662.89,-552.75,-1567.24,0.661
